domain,category,size_tier,date,metric,value
drpepper.com,beverages,large,2023-07-01,traffic_sum,91275.0
drpepper.com,beverages,large,2023-08-01,traffic_sum,118157.0
drpepper.com,beverages,large,2023-09-01,traffic_sum,122104.0
drpepper.com,beverages,large,2023-10-01,traffic_sum,121788.0
drpepper.com,beverages,large,2023-11-01,traffic_sum,113450.0
drpepper.com,beverages,large,2023-12-01,traffic_sum,103918.0
drpepper.com,beverages,large,2024-01-01,traffic_sum,130982.0
drpepper.com,beverages,large,2024-02-01,traffic_sum,162326.0
drpepper.com,beverages,large,2024-03-01,traffic_sum,164963.0
drpepper.com,beverages,large,2024-04-01,traffic_sum,158350.0
drpepper.com,beverages,large,2024-05-01,traffic_sum,156589.0
drpepper.com,beverages,large,2024-06-01,traffic_sum,155883.0
drpepper.com,beverages,large,2024-07-01,traffic_sum,135474.0
drpepper.com,beverages,large,2024-08-01,traffic_sum,135208.0
drpepper.com,beverages,large,2024-09-01,traffic_sum,129246.0
drpepper.com,beverages,large,2024-10-01,traffic_sum,125378.0
drpepper.com,beverages,large,2024-11-01,traffic_sum,143145.0
drpepper.com,beverages,large,2024-12-01,traffic_sum,134703.0
drpepper.com,beverages,large,2025-01-01,traffic_sum,134601.0
drpepper.com,beverages,large,2025-02-01,traffic_sum,123300.0
drpepper.com,beverages,large,2025-03-01,traffic_sum,124204.0
drpepper.com,beverages,large,2025-04-01,traffic_sum,34290.0
drpepper.com,beverages,large,2025-05-01,traffic_sum,33976.0
drpepper.com,beverages,large,2025-06-01,traffic_sum,94099.0
drpepper.com,beverages,large,2025-07-01,traffic_sum,95136.0
drpepper.com,beverages,large,2025-08-01,traffic_sum,105784.0
drpepper.com,beverages,large,2025-09-01,traffic_sum,100696.0
drpepper.com,beverages,large,2025-10-01,traffic_sum,103534.0
drpepper.com,beverages,large,2025-11-01,traffic_sum,101692.0
drpepper.com,beverages,large,2025-12-01,traffic_sum,111985.0
drpepper.com,beverages,large,2026-01-01,traffic_sum,91126.0
drpepper.com,beverages,large,2026-02-01,traffic_sum,89325.0
pepsi.com,beverages,large,2023-01-01,traffic_sum,42032.0
pepsi.com,beverages,large,2023-02-01,traffic_sum,45800.0
pepsi.com,beverages,large,2023-03-01,traffic_sum,60110.0
pepsi.com,beverages,large,2023-04-01,traffic_sum,66516.0
pepsi.com,beverages,large,2023-05-01,traffic_sum,66910.0
pepsi.com,beverages,large,2023-06-01,traffic_sum,57350.0
pepsi.com,beverages,large,2023-07-01,traffic_sum,54501.0
pepsi.com,beverages,large,2023-08-01,traffic_sum,58736.0
pepsi.com,beverages,large,2023-09-01,traffic_sum,60812.0
pepsi.com,beverages,large,2023-10-01,traffic_sum,67451.0
pepsi.com,beverages,large,2023-11-01,traffic_sum,47531.0
